City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,roald,62.5833,6.1333,37.76,86,100,6.91,NO,1679871987
1,ushuaia,-54.8,-68.3,44.26,61,0,14.97,AR,1679871799
2,hermanus,-34.4187,19.2345,56.8,68,15,17.78,ZA,1679871988
3,oliveira dos brejinhos,-12.3169,-42.8961,75.16,71,77,0.25,BR,1679871988
4,honningsvag,70.9821,25.9704,28.15,64,20,11.5,NO,1679871989
5,baijiantan,45.6333,85.1833,44.69,38,45,3.76,CN,1679871989
6,qaqortoq,60.7167,-46.0333,28.9,75,100,7.25,GL,1679871990
7,albany,42.6001,-73.9662,48.61,47,10,1.01,US,1679871991
8,provideniya,64.3833,-173.3,26.71,80,75,15.99,RU,1679871992
9,klaksvik,62.2266,-6.589,29.32,49,99,6.64,FO,1679871992
10,perth,-31.9333,115.8333,63.66,80,0,8.05,AU,1679871736
11,mahebourg,-20.4081,57.7,79.09,83,75,11.5,MU,1679871993
12,sao filipe,14.8961,-24.4956,71.67,68,52,8.3,CV,1679871993
13,cape town,-33.9258,18.4232,60.91,70,0,15.01,ZA,1679871994
14,busselton,-33.65,115.3333,54.07,77,0,10.02,AU,1679871995
15,shimoda,34.6667,138.95,51.1,74,84,16.82,JP,1679871995
16,kindu,-2.95,25.95,69.19,95,98,1.68,CD,1679871995
17,puerto ayora,-0.7393,-90.3518,89.56,86,100,5.01,EC,1679871996
18,imbituba,-28.24,-48.6703,72.91,81,0,13.06,BR,1679871997
19,ilinskoye-khovanskoye,56.9718,39.7684,38.91,100,100,4.88,RU,1679871997
20,bontang,0.1333,117.5,76.19,91,100,5.37,ID,1679871997
21,hervey bay,-25.2986,152.8535,78.08,66,37,3.27,AU,1679871907
22,salihli,38.4826,28.1477,54.9,78,4,1.74,TR,1679871998
23,san patricio,28.017,-97.5169,89.17,61,97,9.69,US,1679871998
24,vaini,-21.2,-175.2,80.76,89,75,10.36,TO,1679871999
25,tarakan,3.3,117.6333,78.3,94,40,2.3,ID,1679871999
26,hobart,-42.8794,147.3294,57.25,78,75,8.05,AU,1679871803
27,sabha,27.0377,14.4283,65.7,18,0,5.64,LY,1679871832
28,prince rupert,54.3161,-130.3201,46.49,46,75,11.5,CA,1679871722
29,bilibino,68.0546,166.4372,-3.33,90,100,10.36,RU,1679872000
30,yarmouth,41.7057,-70.2286,55.87,64,0,10.36,US,1679872001
31,chifeng,42.2683,118.9636,33.75,28,34,6.44,CN,1679872001
32,port hardy,50.6996,-127.4199,44.58,65,100,11.63,CA,1679872001
33,ribeira grande,38.5167,-28.7,61.77,87,62,21.99,PT,1679872002
34,rikitea,-23.1203,-134.9692,79.03,77,25,8.19,PF,1679872002
35,olenegorsk,68.15,33.3,-5.37,100,63,2.89,RU,1679872002
36,westport,41.1415,-73.3579,60.78,27,0,11.5,US,1679871866
37,mataura,-46.1927,168.8643,55.47,58,82,9.15,NZ,1679872003
38,meadow lake,34.8014,-106.5436,53.47,18,92,21.99,US,1679872003
39,urusha,54.05,122.9,15.49,84,28,1.07,RU,1679872004
40,thompson,55.7435,-97.8558,7.7,83,100,8.99,CA,1679872004
41,bowen,-20.0167,148.2333,77.49,75,44,8.52,AU,1679872004
42,gamba,-2.65,10.0,75.36,91,100,7.14,GA,1679872005
43,punta arenas,-53.15,-70.9167,42.91,87,100,2.3,CL,1679872005
44,victoria,22.2855,114.1577,67.24,88,100,15.99,HK,1679871901
45,jamestown,42.097,-79.2353,48.52,45,0,8.05,US,1679872005
46,namibe,-15.1961,12.1522,75.04,72,98,4.61,AO,1679872006
47,tamworth,52.634,-1.6959,41.65,79,94,4.74,GB,1679871880
48,yellowknife,62.456,-114.3525,5.56,50,92,8.01,CA,1679872006
49,port elizabeth,-33.918,25.5701,59.09,95,20,3.44,ZA,1679871784
50,vryheid,-27.7695,30.7917,55.11,95,100,5.1,ZA,1679872007
51,kapaa,22.0752,-159.319,80.58,71,75,9.22,US,1679872008
52,port alfred,-33.5906,26.891,63.54,61,94,10.2,ZA,1679872008
53,namatanai,-3.6667,152.4333,83.93,60,3,8.97,PG,1679872009
54,khatanga,71.9667,102.5,-16.33,100,91,5.17,RU,1679872009
55,cidreira,-30.1811,-50.2056,71.17,78,1,10.63,BR,1679872010
56,vallenar,-28.5708,-70.7581,73.27,56,0,4.56,CL,1679872010
57,richards bay,-28.783,32.0377,68.45,86,100,18.81,ZA,1679872011
58,zhigansk,66.7697,123.3711,22.73,96,100,15.99,RU,1679872011
59,ola,59.5833,151.2833,9.03,92,72,5.97,RU,1679872011
60,kundiawa,-6.0167,144.9667,70.0,75,84,2.04,PG,1679872012
61,sandpoint,48.2766,-116.5533,46.85,61,75,5.75,US,1679871914
62,kenai,60.5544,-151.2583,33.89,47,0,5.75,US,1679872012
63,iaciara,-14.0958,-46.6317,77.81,57,97,1.16,BR,1679872013
64,camabatela,-8.1881,15.375,62.33,99,85,1.77,AO,1679872013
65,benalla,-36.55,145.9833,59.31,82,100,4.14,AU,1679872013
66,port blair,11.6667,92.75,77.04,88,40,2.3,IN,1679872014
67,timizart,36.8,4.2667,57.79,46,64,6.2,DZ,1679872014
68,oksfjord,70.2396,22.3479,14.18,87,87,4.14,NO,1679872014
69,tuktoyaktuk,69.4541,-133.0374,19.47,74,29,21.77,CA,1679872015
70,quatre cocos,-20.2078,57.7625,75.09,82,91,12.3,MU,1679872015
71,castro,-24.7911,-50.0119,66.85,93,90,4.03,BR,1679871796
72,yulara,-25.2406,130.9889,71.53,68,35,9.28,AU,1679872016
73,kavieng,-2.5744,150.7967,84.51,64,11,15.32,PG,1679872016
74,nhulunbuy,-12.2333,136.7667,83.01,78,40,5.75,AU,1679872017
75,atuona,-9.8,-139.0333,80.8,76,79,15.19,PF,1679872017
76,hilo,19.7297,-155.09,83.28,78,75,11.5,US,1679872017
77,atasu,48.6814,71.6433,30.04,98,83,3.47,KZ,1679872018
78,north platte,41.1239,-100.7654,37.29,56,75,8.05,US,1679872018
79,saskylakh,71.9167,114.0833,1.89,96,100,16.17,RU,1679872018
80,new norfolk,-42.7826,147.0587,56.91,69,99,0.18,AU,1679872019
81,carauari,-4.8828,-66.8958,72.86,99,100,0.56,BR,1679872019
82,east london,-33.0153,27.9116,64.18,65,99,13.13,ZA,1679872020
83,sfantu gheorghe,45.8667,25.7833,37.92,78,67,2.04,RO,1679872020
84,kaa-khem,51.6833,94.7333,12.4,86,66,3.67,RU,1679872020
85,gaoual,11.75,-13.2,87.91,29,41,5.08,GN,1679872021
86,surt,31.2089,16.5887,63.48,50,0,7.81,LY,1679872021
87,mount gambier,-37.8333,140.7667,53.85,96,100,6.2,AU,1679872021
88,avarua,-21.2078,-159.775,84.25,79,20,10.36,CK,1679872022
89,cherskiy,68.75,161.3,0.55,87,100,14.92,RU,1679872023
90,adolfo ruiz cortines,25.75,-108.75,83.98,13,25,16.11,MX,1679872024
91,alyangula,-13.8483,136.4192,81.09,65,45,9.13,AU,1679872024
92,saldanha,-33.0117,17.9442,61.95,71,23,11.81,ZA,1679872025
93,hamilton,39.1834,-84.5333,64.35,41,0,9.22,US,1679871932
94,chuy,-33.6971,-53.4616,64.58,81,1,10.22,UY,1679872025
95,bluff,-46.6,168.3333,55.8,76,97,22.95,NZ,1679871919
96,evensk,61.95,159.2333,-1.12,68,6,2.04,RU,1679872026
